epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,,,
0,,2,,,,,0.07119999825954437,4.515742778778076
0,,2,,,0.02864583395421505,4.788516521453857,,
,0.00904518046337755,3,,,,,,
1,,5,,,,,0.27320000529289246,3.588285207748413
1,,5,,,0.328125,3.2252209186553955,,
,0.00654543046337755,6,,,,,,
2,,8,,,,,0.39100000262260437,2.9668941497802734
2,,8,,,0.6953125,1.667153000831604,,
,0.003455569536622451,9,,,,,,
3,,11,,,,,0.41499999165534973,2.756120443344116
3,,11,,,0.84375,0.9438228607177734,,
,0.0009558195366224508,12,,,,,,
4,,14,,,,,0.4230000078678131,2.7025036811828613
4,,14,,,0.8802083134651184,0.7252797484397888,,
5,,15,0.4251999855041504,2.700432300567627,,,,
