epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,,,
0,,350,,,,,0.7825999855995178,0.7209296822547913
0,,350,,,0.6686921119689941,1.286072015762329,,
,0.009990134628777144,351,,,,,,
1,,701,,,,,0.7982000112533569,0.6666305661201477
1,,701,,,0.7949163317680359,0.6773753762245178,,
,0.009960577449221733,702,,,,,,
2,,1052,,,,,0.8047999739646912,0.6401941776275635
2,,1052,,,0.8165954351425171,0.5953890681266785,,
,0.00991144511001808,1053,,,,,,
3,,1403,,,,,0.8076000213623047,0.6356801986694336
3,,1403,,,0.8311075568199158,0.5417670011520386,,
,0.00984293151406259,1404,,,,,,
4,,1754,,,,,0.807200014591217,0.6518723368644714
4,,1754,,,0.8412126302719116,0.5089868307113647,,
,0.00975530705321762,1755,,,,,,
5,,2105,,,,,0.8090000152587891,0.6258519291877747
5,,2105,,,0.8469105958938599,0.4888754189014435,,
,0.009648917541198314,2106,,,,,,
6,,2456,,,,,0.8100000023841858,0.6304147243499756
6,,2456,,,0.8542112112045288,0.4707936644554138,,
,0.009524182848803867,2457,,,,,,
7,,2807,,,,,0.8100000023841858,0.6438542604446411
7,,2807,,,0.8557246923446655,0.4550131857395172,,
,0.009381595246879296,2808,,,,,,
8,,3158,,,,,0.8101999759674072,0.6453704833984375
8,,3158,,,0.859909176826477,0.44154947996139526,,
,0.009221717463547325,3159,,,,,,
9,,3509,,,,,0.8094000220298767,0.6488848924636841
9,,3509,,,0.8650952577590942,0.42358094453811646,,
,0.00904518046337755,3510,,,,,,
10,,3860,,,,,0.8151999711990356,0.6602424383163452
10,,3860,,,0.8689903616905212,0.41335368156433105,,
,0.008852680957257558,3861,,,,,,
11,,4211,,,,,0.807200014591217,0.6612291932106018
11,,4211,,,0.87074875831604,0.40233975648880005,,
,0.008644978652793346,4212,,,,,,
12,,4562,,,,,0.8104000091552734,0.6520262360572815
12,,4562,,,0.8730635643005371,0.3955487608909607,,
,0.00842289325609048,4563,,,,,,
13,,4913,,,,,0.8050000071525574,0.6561432480812073
13,,4913,,,0.8747106194496155,0.38946402072906494,,
,0.008187301236748575,4914,,,,,,
14,,5264,,,,,0.8050000071525574,0.6734259128570557
14,,5264,,,0.87856125831604,0.379567414522171,,
,0.007939132368836222,5265,,,,,,
15,,5615,,,,,0.8100000023841858,0.662660539150238
15,,5615,,,0.8796964287757874,0.3709816038608551,,
,0.0076793660614974954,5616,,,,,,
16,,5966,,,,,0.8068000078201294,0.667140543460846
16,,5966,,,0.8821670413017273,0.3656619191169739,,
,0.007409027493671528,5967,,,,,,
17,,6317,,,,,0.8047999739646912,0.6681217551231384
17,,6317,,,0.8838140964508057,0.36026719212532043,,
,0.007129183568179582,6318,,,,,,
18,,6668,,,,,0.8068000078201294,0.6749659180641174
18,,6668,,,0.88706374168396,0.3510286509990692,,
,0.00684093870114705,6669,,,,,,
19,,7019,,,,,0.8100000023841858,0.672817051410675
19,,7019,,,0.8860176205635071,0.3498467206954956,,
,0.006545430463377551,7020,,,,,,
20,,7370,,,,,0.8077999949455261,0.6729758381843567
20,,7370,,,0.8908253312110901,0.3398020565509796,,
21,,7371,0.8108000159263611,0.6548541784286499,,,,
